,initial_request,binary_label
0,What are the key differences between k-means clustering and decision trees?,0
1,What are some recent breakthroughs in deep learning and their applications in healthcare?,0
2,Python programming basics and syntax for beginners.,0
3,What are the major milestones in the history of space exploration?,0
4,What are the best 5.1 speaker systems for a home theater and how do I set them up?,0
5,What are the different types of renewable energy sources and their potential impact on the environment?,0
6,When is the best time to visit Japan for cherry blossoms?,0
7,What is the best time to visit Italy for tourist?,0
8,What are the top 5 vacation destinations in the United States and their average temperatures in July?,0
9,Small dog breeds for apartments,0
10,the benefits of mindfulness meditation for anxiety and depression,0
11,Can you give me 10 healthy gluten-free recipes that are kid-friendly and take less than an hour to prepare?,0
12,Recipe for vegan chocolate cake with nutrition information,0
13,What are the top smartphones available for under $500?,0
14,How do I create a budget for my first apartment?,0
15,What are the latest smart home devices released in 2023?,0
16,Best wedding venues and budgeting tips for a perfect wedding.,0
17,Best time to visit Japan for cherry blossoms,0
18,Coffee beans with distinct flavor profiles,0
19,types of flooring materials,0
20,best online courses for learning Spanish for beginners,0
21,scientific discoveries in the 20th century timeline,0
22,When is the new iPhone release date?,0
23,Effective stress management techniques and self-care practices for anxiety,0
24,How can I prevent my computer from getting a virus?,0
25,"Popular travel destinations in Asia including beaches, cities, and cultural attractions",0
26,Adobe Premiere Pro tutorials for beginners,0
27,What is the best online course for learning conversational Spanish?,0
28,Minimalist living room decor ideas on a budget using second-hand furniture.,0
29,What are the projected sea-level rise effects on coastal cities in the next 50 years?,0
30,What are the top-rated backpacks for hikers and backpackers?,0
31,What are the scientifically proven benefits of regular meditation practice for stress reduction?,0
32,How can I train my puppy to stop barking excessively and what are the best toys for a 6-month-old golden retriever?,0
33,What are the main greenhouse gases responsible for climate change?,0
34,What are the benefits of a plant-based diet for heart health?,0
35,What is the best time to visit Paris and Rome?,0
36,What are the most budget-friendly ways to decorate a living room?,0
37,How to housebreak a puppy,0
38,What are the current global temperature and sea level changes due to climate change?,0
39,What are the benefits and drawbacks of investing in Apple stock?,0
40,"Signs of mental health issues, seeking mental health support, and stress management techniques.",0
41,Weight loss workout routines for beginners with diet plans.,0
42,iPhone 14 pros and cons review,0
43,What are the effects of rising temperatures on global wheat production and how can farmers adapt to these changes?,0
44,What are the common symptoms of type 2 diabetes?,0
45,Benefits of a vegan diet for overall health,0
46,effects of climate change on sea levels,0
47,What are the latest advancements in Mars rover technology?,0
48,How to fix a leaky faucet without a plumber,0
49,Music streaming services with free trials,0
50,What is the current status of NASA's Artemis program?,0
51,"Steps to start a vegetable garden, including choosing the right location, soil, and plants for a small garden.",0
52,What are the effects of prolonged exposure to microgravity on the human body?,0
53,Which smartphone has the best camera and gaming performance?,0
54,What are some cost-effective social media advertising options for a small business?,0
55,"introduction to artificial intelligence, AI applications, recent advancements in AI",0
56,What is the best diet for a dog with allergies?,0
57,Latest cybersecurity threats for small businesses in 2024,0
58,What are the top 5 things to do in Paris?,0
59,best affordable travel destinations for solo travelers,0
60,What are some easy plant-based breakfast recipes?,0
61,How to save money for retirement in your 30s,0
62,What are the health benefits of eating at least 5 servings of fruits and vegetables daily?,0
63,What are the best investment strategies for individuals saving for retirement?,0
64,Best online resources for learning Spanish,0
65,What are the main causes of climate change and its impact on marine ecosystems?,0
